config,BL_s0,BL_s1,BL_s2,BL_s7,BL_s42,HD_s0,HD_s1,HD_s2,HD_s7,HD_s42,BL_mean,HD_mean,BL_std,HD_std,delta_pct,hd_seed_wins,dataset_name,term,ds_base
SZ_TAXI/H/short,0.5891888724351604,0.5904882284443752,0.5867438438620529,0.5875282318717261,0.5924785344808308,0.5673691413153054,0.5754209773974166,0.5823953980134735,0.5759087741612036,0.571952225479556,0.589285542218829,0.574609303273391,0.0023021386243159566,0.005532872634428407,2.4905140028003685,5,SZ_TAXI/H,short,SZ_TAXI
ett2/H/long,1.1842943506871124,1.165188207741689,1.1149282650745196,1.15359768997985,1.137687952176469,1.1125435592093391,1.163758922790438,1.1231867952448304,1.042201334560308,1.1771870854544144,1.151139293131928,1.123775539451866,0.026433173687320694,0.05299131790487297,2.377101871452309,3,ett2/H,long,ett2
SZ_TAXI/15T/short,0.5777483830981867,0.5643303091224005,0.5689256948001328,0.5662469820378584,0.5673979268877486,0.5547771849549659,0.5587232786509959,0.559432795036578,0.5551759078533992,0.557345663871565,0.5689298591892653,0.5570909660735008,0.005207371901399073,0.002075723323456305,2.0809055676274566,5,SZ_TAXI/15T,short,SZ_TAXI
bizitobs_application/long,7.118594681346685,6.5336128202386,7.464098353401889,7.894682658953453,6.640327729130377,5.869501772301351,7.973117309356774,7.55397728612005,6.445116797908726,7.139125858185639,7.1302632486142015,6.996167804774506,0.5683193676285293,0.8454366206159711,1.8806520764258896,2,bizitobs_application,long,bizitobs_application
M_DENSE/D/short,0.7865049858361639,0.7722088230160427,0.7826657665741784,0.7450495940727501,0.8710205688843241,0.8195267806929407,0.8179192416012504,0.7799833600431086,0.7296155446715102,0.7459620362711715,0.7914899476766919,0.7786013926559964,0.04731887556090065,0.04088896964185486,1.6283914986574468,3,M_DENSE/D,short,M_DENSE
ett2/H/medium,1.1244704702957788,1.1294159539773063,1.071295601360054,1.1377563411213674,1.0789539364164262,1.0927821760451082,1.1300459140313568,1.0342134299654795,1.1023054281760083,1.096352458465527,1.1083784606341864,1.091139881336696,0.030844488326183753,0.03503154925995873,1.55529721207565,3,ett2/H,medium,ett2
saugeenday/D/short,2.947011849548465,3.01489828015341,3.150796181455211,3.165597797415873,2.8854841146632397,2.9452465394925578,3.030396966119659,3.0369911109113588,3.057438914615717,2.8599118877817937,3.0327576446472397,2.985997083784217,0.12343054045753145,0.08251327023218352,1.541849575272001,4,saugeenday/D,short,saugeenday
electricity/D/short,1.5366158440048787,1.5542847679642686,1.5353162101439275,1.525783747921121,1.5540236187473857,1.5046841351871318,1.5212828031282153,1.5291359110747011,1.5144537563190483,1.518196121427621,1.5412048377563163,1.5175505454273435,0.012539443078294915,0.008995857773879942,1.5347922449691214,5,electricity/D,short,electricity
bitbrains_fast_storage/5T/medium,1.1144126372341,1.078674247943244,1.1161319923059485,1.1140368250603654,1.0997411114602895,1.096701121775887,1.1115579207069903,1.066085499169172,1.079039134856716,1.0875180026276308,1.1045993628007895,1.0881803358272792,0.01592232535445152,0.017257587573224945,1.4864237230663138,4,bitbrains_fast_storage/5T,medium,bitbrains_fast_storage
car_parts_with_missing/short,0.8839633199336572,0.8807554894863696,0.8813139140920425,0.8694567453642182,0.8724032999211974,0.8661935381702843,0.8524472445165805,0.8684380967470542,0.8707673635560588,0.8655743952955572,0.877578553759497,0.864684127657107,0.006276107480472865,0.007139857290080075,1.4693187347333188,4,car_parts_with_missing,short,car_parts_with_missing
kdd_cup_2018_with_missing/H/medium,1.011046004033451,1.0270216058110166,1.0751757982805683,1.0544402097603045,1.0214749475496705,1.0304293762810983,1.0400295457856683,1.011185245292583,1.0124108008906525,1.0231062283476933,1.037831713087002,1.023432239319539,0.026326314156915647,0.012206532661665591,1.3874574833170445,2,kdd_cup_2018_with_missing/H,medium,kdd_cup_2018_with_missing
ett2/H/short,0.7883787486131442,0.787513542146509,0.7845137371882912,0.7997821679377615,0.7782147268753079,0.7792763999742544,0.7680522722884712,0.7857763433556241,0.7806070913234064,0.7712491023910116,0.7876805845522028,0.7769922418665536,0.007851672440385926,0.007217195800994011,1.356938700187152,4,ett2/H,short,ett2
m4_daily/short,3.499468804620008,3.33429289764412,3.4610576975828877,3.607565013200877,3.4005346864829957,3.41136741604496,3.3332466775035305,3.3536683411695387,3.512501094083261,3.4598041134681408,3.460583819906178,3.414117528453886,0.10328484067042133,0.07410862286409171,1.3427298360757964,4,m4_daily,short,m4_daily
hierarchical_sales/W/short,0.7655851669115432,0.7492886171204602,0.7672524085187551,0.7574885121617952,0.7720452797618932,0.7524497065614338,0.7467129626383576,0.7488197180931037,0.7512572101533581,0.7613853703635302,0.7623319968948893,0.7521249935619567,0.008982351168536847,0.005630896680955498,1.3389183944144365,5,hierarchical_sales/W,short,hierarchical_sales
bitbrains_rnd/5T/long,3.480599863623462,3.5074534879381662,3.584484251643072,3.4758536519916965,3.557360231198534,3.4881252962765,3.480603098937878,3.452873780545823,3.4721458268025525,3.477781301302569,3.5211502972789868,3.4743058607730646,0.047974147777481484,0.01329201360434903,1.3303731039859847,4,bitbrains_rnd/5T,long,bitbrains_rnd
ett1/H/short,0.8736605965620822,0.86234574388461,0.8770187826580602,0.8613131723489705,0.8752426021102732,0.8441296176621029,0.8700651790883464,0.8462585191167721,0.8542085215894003,0.8775008287802636,0.8699161795127992,0.8584325332473771,0.0074860142269828215,0.01474398718604716,1.320086525101023,3,ett1/H,short,ett1
jena_weather/D/short,1.3245532854715072,1.2426836428116466,1.287258112884798,1.2849311291584844,1.3162191538657082,1.2839023479275875,1.26763055088029,1.2622352205130392,1.2392912004124568,1.3300652761617195,1.2911290648384288,1.2766249191790187,0.03219879145014062,0.033876988389468024,1.1233691545178872,3,jena_weather/D,short,jena_weather
saugeenday/W/short,1.4207925155801702,1.4395387397722244,1.472220842509505,1.429098474155359,1.4292482733947414,1.4313524348618734,1.4152108867979662,1.418627186162822,1.3773595514532528,1.475507991583211,1.4381797690824,1.4236116101718252,0.020156882190251545,0.035312265369450535,1.0129581310874467,3,saugeenday/W,short,saugeenday
covid_deaths/short,44.57791410260442,52.179695333113465,47.606903043172565,45.17642710199468,46.03208901914277,43.93148519024695,46.7925146577276,47.28506034998475,47.87435617053804,47.44037746149596,47.11460572000558,46.664758765998656,3.052076038042206,1.576117881437091,0.9547929928147748,3,covid_deaths,short,covid_deaths
bitbrains_fast_storage/H/short,1.2091021916566396,1.2235030878847746,1.2138402612026498,1.2177428259589478,1.2047322986718434,1.207371058148946,1.211544056112471,1.1992753063618842,1.1975856341600253,1.195543604601377,1.213784133074971,1.2022639318769408,0.007314177394240945,0.006859019523100844,0.9491144993669687,5,bitbrains_fast_storage/H,short,bitbrains_fast_storage
kdd_cup_2018_with_missing/H/long,0.9961997122956616,1.0134082690427135,1.0501150015644236,1.0303294092080386,1.0114011499731017,1.0175388894674704,1.0234059315802977,1.014829245033564,0.9936999652025724,1.0053006536674671,1.0202907084167878,1.0109549369902742,0.020597525886025796,0.01165215570834461,0.9150109228182833,3,kdd_cup_2018_with_missing/H,long,kdd_cup_2018_with_missing
M_DENSE/H/short,0.8161405011951102,0.8144301050953177,0.8235122923287552,0.8210102663631148,0.8096120363039746,0.8194530284464592,0.8043487759372422,0.8164231418003255,0.8114066074441952,0.7993975017827202,0.8169410402572546,0.8102058110821885,0.005486344685044854,0.008317640181353681,0.8244449529607619,4,M_DENSE/H,short,M_DENSE
bitbrains_rnd/5T/medium,4.538687841278434,4.54310866759315,4.602296216254913,4.534628880515849,4.569209169936182,4.540278381518557,4.532531104842887,4.512556376300279,4.511696756803075,4.522529199616763,4.557586155115706,4.523918363816312,0.028407148785559378,0.012472186082263408,0.7387197993306769,4,bitbrains_rnd/5T,medium,bitbrains_rnd
electricity/H/short,1.001939516744285,1.0314049146905446,1.0241008364654236,0.9966514867553616,0.9956530969093672,1.0072726367107334,1.0271552168897824,0.9971926128066296,0.9909733292368909,0.9901092774861792,1.0099499703129964,1.002540614626043,0.016628133325302635,0.015372150430499158,0.7336359131390628,4,electricity/H,short,electricity
restaurant/short,0.6978025634262383,0.6969996477050447,0.6944147297536031,0.6989663742788288,0.6931334140941942,0.6883109486238272,0.690821194138949,0.6923740371362219,0.6907408373441238,0.6961680397097518,0.6962633458515818,0.6916830113905748,0.0024203072182916886,0.0028980262169646517,0.657845122581448,4,restaurant,short,restaurant
bitbrains_rnd/5T/short,1.798633865935353,1.7907094158484342,1.8036287848599093,1.7942472767941735,1.7989293838050322,1.7900212683860686,1.791792909725021,1.7868772454979074,1.7793516742222968,1.7830887615206366,1.7972297454485804,1.7862263718703861,0.004929955568788088,0.005072407864868623,0.6122407892513408,4,bitbrains_rnd/5T,short,bitbrains_rnd
kdd_cup_2018_with_missing/H/short,0.9294637110432182,0.9308371822402172,0.951516593150607,0.9563022454352832,0.940044316175401,0.9299290310279944,0.9618331906181294,0.9393043490826628,0.9231429479562188,0.9264511562575168,0.9416328096089452,0.9361321349885046,0.012041982458639173,0.01558465615943037,0.5841634408135249,3,kdd_cup_2018_with_missing/H,short,kdd_cup_2018_with_missing
m4_monthly/short,1.0066041350529815,1.0134743224364555,0.992170717592135,0.9864630733728496,0.9949434619105396,1.0068434136652389,0.9933043490359524,0.9926474084865238,0.9993295443932828,0.9837453376253898,0.9987311420729922,0.9951740106412774,0.01103671810034643,0.008572300560097708,0.3561650660388433,2,m4_monthly,short,m4_monthly
