series_idx,dataset_idx,dataset,seasonality,oracle_method,raw_MASE,A1_d2_MASE,A1_d4_MASE,A1_d6_MASE,oracle_MASE
26922,0,m4_monthly,12,A1_d6,0.39480852375347564,0.4797930863369943,0.37217104196708856,0.35269199720833283,0.35269199720833283
26923,0,m4_monthly,12,raw,0.3675487448026773,0.5023557206389758,0.4203779412627198,0.4210635590859531,0.3675487448026773
26924,0,m4_monthly,12,A1_d6,1.2576689396537246,1.1904096721105382,1.2142280000078611,1.1681064010645184,1.1681064010645184
26925,0,m4_monthly,12,A1_d2,3.015516873929108,2.8583541259683374,3.0188604688032594,3.020294954742963,2.8583541259683374
26926,0,m4_monthly,12,A1_d6,2.630053203034765,2.578692402251678,2.5680306937299857,2.526138530963575,2.526138530963575
26927,0,m4_monthly,12,A1_d6,1.6086510984137037,1.6300969606864224,1.6322812231696056,1.5017847190279718,1.5017847190279718
26928,0,m4_monthly,12,A1_d2,2.9869174739635045,2.837912963084394,2.996608961859129,2.9944845060316863,2.837912963084394
26929,0,m4_monthly,12,A1_d2,3.3223474360993532,2.9728486991494303,3.4131369447783357,3.263998888800806,2.9728486991494303
26930,0,m4_monthly,12,A1_d2,0.8293420404587576,0.8208759316952198,0.8285291123271711,0.8533732009179124,0.8208759316952198
26931,0,m4_monthly,12,raw,0.4530468045842577,0.5342872087611908,0.5380099236686365,0.5156456213915978,0.4530468045842577
26932,0,m4_monthly,12,A1_d6,0.7669638791574795,0.8003658207988922,0.7683684402169311,0.7339249066805753,0.7339249066805753
26933,0,m4_monthly,12,A1_d4,0.776196971717631,0.8647920556734058,0.6497517621577427,0.7490922293305246,0.6497517621577427
26934,0,m4_monthly,12,A1_d6,0.8030714440822738,0.6428126148102256,0.6425500755032796,0.642044298915197,0.642044298915197
26935,0,m4_monthly,12,A1_d4,0.5807604661129004,0.4843088493413691,0.45446904014900064,0.5646574005174123,0.45446904014900064
26936,0,m4_monthly,12,A1_d6,0.7855535507497233,0.7079383094819452,0.7080557867384828,0.6858983846045416,0.6858983846045416
26937,0,m4_monthly,12,A1_d2,0.44283442194047323,0.39668407457697913,0.5445349029913907,0.48215636583517985,0.39668407457697913
26938,0,m4_monthly,12,A1_d4,1.6787556861350221,1.6654427902811664,1.3401741165236978,1.6472480082230956,1.3401741165236978
26939,0,m4_monthly,12,A1_d4,1.9778074816357574,1.8856268478293647,1.7613780457447163,1.9465950154762646,1.7613780457447163
26940,0,m4_monthly,12,A1_d4,1.8370186287492671,1.7354611435022098,1.6583241221256386,1.8004722549629797,1.6583241221256386
26941,0,m4_monthly,12,A1_d4,0.5990682063841357,0.5260738568089403,0.4101842519005102,0.5549648499581152,0.4101842519005102
26942,0,m4_monthly,12,A1_d6,0.6842700565851104,0.628146600290963,0.6531445968008242,0.6152386174324825,0.6152386174324825
26943,0,m4_monthly,12,A1_d2,2.589991610485338,2.3316423087826577,2.804552855894612,2.5510635515656874,2.3316423087826577
26944,0,m4_monthly,12,A1_d6,0.39040497268255225,0.44521124185523503,0.3301117560151602,0.3019331845115764,0.3019331845115764
26945,0,m4_monthly,12,A1_d6,1.1293573895273228,1.008977503618501,1.0230380022686683,0.993179863264332,0.993179863264332
26946,0,m4_monthly,12,A1_d6,1.148914625534383,1.3323904870604524,1.2005309643039,0.9933015468150649,0.9933015468150649
26947,0,m4_monthly,12,A1_d6,0.5803292854592507,0.6249585122074052,0.5134879029011612,0.5011036389212624,0.5011036389212624
26948,0,m4_monthly,12,A1_d4,0.9298837903214305,0.9302785792214604,0.8686802327555099,0.936102613444628,0.8686802327555099
26949,0,m4_monthly,12,A1_d6,1.5758475067736317,1.5058066702786328,1.5792307139885027,1.49430220553623,1.49430220553623
26950,0,m4_monthly,12,A1_d6,0.3823622503851244,0.41589336260402593,0.3979717133748113,0.3780953513359526,0.3780953513359526
26951,0,m4_monthly,12,A1_d4,0.6749393513034595,0.6599096472037533,0.6524161691360479,0.6856793778024386,0.6524161691360479
26952,0,m4_monthly,12,A1_d6,0.7040221773470706,0.6113033549076203,0.6823021405731188,0.6050218500467492,0.6050218500467492
26953,0,m4_monthly,12,raw,0.1442612528482953,0.1895923246623339,0.15736006005275074,0.20503486896661594,0.1442612528482953
26954,0,m4_monthly,12,A1_d2,0.38952473955086053,0.3229646355291926,0.36893848854164024,0.3615149498337357,0.3229646355291926
26955,0,m4_monthly,12,A1_d4,0.7788459934946301,0.7541995812424571,0.6460376329877389,0.7283162030765153,0.6460376329877389
26956,0,m4_monthly,12,A1_d4,0.29603452236458166,0.2602531339174449,0.23297813540262377,0.28928457997466056,0.23297813540262377
26957,0,m4_monthly,12,A1_d4,0.19579366227631262,0.20402205511106117,0.18968432413340128,0.20308290199801637,0.18968432413340128
26958,0,m4_monthly,12,A1_d4,1.1502791408592263,1.286874046348141,0.9827693974662287,1.0909855581637093,0.9827693974662287
26959,0,m4_monthly,12,A1_d2,0.41357975928733864,0.33003056436010864,0.39510664931518535,0.3706105305775735,0.33003056436010864
26960,0,m4_monthly,12,A1_d4,0.7450428278678372,0.8748610942110642,0.662228640881016,0.6895689777407278,0.662228640881016
26961,0,m4_monthly,12,raw,0.7985457378098018,0.861060765390942,0.8996041403598396,0.941152767702994,0.7985457378098018
26962,0,m4_monthly,12,A1_d4,1.9720558575895955,1.8705234007956248,1.3807002457548097,1.66556456129047,1.3807002457548097
26963,0,m4_monthly,12,raw,0.5874549922709804,0.7033938757397461,0.6324646124672991,0.6112839421620513,0.5874549922709804
26964,0,m4_monthly,12,A1_d2,0.8942892740906505,0.5424500350432139,0.7653401977658206,1.0470329601510004,0.5424500350432139
26965,0,m4_monthly,12,A1_d2,0.5305553362729284,0.35204438826849227,0.45701644710783246,0.5088131234742161,0.35204438826849227
26966,0,m4_monthly,12,A1_d4,0.3790992701851609,0.5989563500641073,0.31217416749987853,0.4929429141682354,0.31217416749987853
26967,0,m4_monthly,12,A1_d4,1.5573264242198068,1.3655456925825225,1.2024976909596887,1.2382274269449518,1.2024976909596887
26968,0,m4_monthly,12,raw,0.5102707747003756,0.5252302535515527,0.6271487134443282,0.6200394416335255,0.5102707747003756
26969,0,m4_monthly,12,A1_d4,1.4044230324838447,1.5329173821191722,1.2925406629499203,1.4760325991379,1.2925406629499203
26970,0,m4_monthly,12,A1_d4,1.165225040752169,1.3455864728565856,1.0512563550260783,1.1748242258550643,1.0512563550260783
26971,0,m4_monthly,12,raw,0.9446409707434517,1.0585897260088228,0.996810946227129,1.0010683019445408,0.9446409707434517
26972,0,m4_monthly,12,A1_d6,0.5492211243518683,0.7712362923546329,0.5809566237697135,0.5399574961788443,0.5399574961788443
26973,0,m4_monthly,12,A1_d4,0.7437425986185046,0.9927059913987901,0.5917713353056386,0.6375291081013292,0.5917713353056386
26974,0,m4_monthly,12,A1_d6,0.7922232537955786,1.0404646407067626,0.7350240117399588,0.6791492417891039,0.6791492417891039
26975,0,m4_monthly,12,A1_d6,1.107681944576424,1.0805603746783872,1.0395279460725133,1.0332665221784842,1.0332665221784842
26976,0,m4_monthly,12,A1_d4,1.0991762299041674,1.342900514030161,1.0527177437209465,1.107450147707912,1.0527177437209465
26977,0,m4_monthly,12,A1_d4,0.5676186945659624,0.5972437743901414,0.44803652380188064,0.5645584930336424,0.44803652380188064
26978,0,m4_monthly,12,A1_d4,1.0198357970982477,1.2771464384859446,0.942917520053053,1.0591355647397906,0.942917520053053
26979,0,m4_monthly,12,A1_d2,1.8495696914179742,1.6549802033085563,1.673842296562477,1.7932404377170523,1.6549802033085563
