dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
saugeen/M/short,official_moirai2_lb,0.7310303301023996,12.477723621186756,395.2047061011905,0.2910355401773991
saugeen/W/short,official_moirai2_lb,1.4041545971495304,17.306808471679688,1292.5685546875,0.41932233893128756
solar/10T/short,official_moirai2_lb,0.6575393840547563,1.5266270992529654,16.642165046190694,0.35037222440215576
solar/10T/medium,official_moirai2_lb,0.9995384764433031,2.317235496502433,29.05948006525105,0.4123665236496465
solar/10T/long,official_moirai2_lb,1.0108350606561152,2.344875333837059,29.882359780515003,0.4083652702473935
solar/D/short,official_moirai2_lb,1.0638502726824748,271.90541362530416,170813.63309002432,0.30297031943530706
solar/H/short,official_moirai2_lb,0.879364226068713,11.403338883319726,802.4386205019849,0.34237421209116004
solar/H/medium,official_moirai2_lb,0.8482193195898281,11.081192974452554,714.815206812652,0.33287318255177917
solar/H/long,official_moirai2_lb,0.8833699320949279,11.615360148012977,695.7605839416059,0.33190213439591026
solar/W/short,official_moirai2_lb,1.1966747520613694,1091.556341240876,1808328.6423357665,0.16269270418703818
temperature_rain/D/short,official_moirai2_lb,1.3528343875200335,5.905551571939419,181.96671272733448,0.5629635437780748
us_births/D/short,official_moirai2_lb,0.37330610760469707,253.57338541666667,190028.16,0.019569362645630514
us_births/M/short,official_moirai2_lb,0.8112840861354599,7187.571614583333,78014528.0,0.016870462688588248
us_births/W/short,official_moirai2_lb,0.8713688621549901,957.8921595982143,1552936.857142857,0.010818051026379751
